S.No,Contaminant,Initial conc,Final Conc,%removal,Initial pH,Final pH,Current,Electrode Gap,Current Density,Voltage,Nacl conc,Residence Time,Reactor Volume,Electrode Material,Batch/Continuous,Electrode Area,Reference No.
,As,0.205,0.0123,94.0,6.5,,0.96,1.5,120.0,,,30.0,0.25,Al,Batch,80.0,
101.0,F,5.0,3.95,21.0,3.0,,0.45,,112.5,,,15.0,1000.0,Al-Fe,batch,40.0,14.0
,As,0.275,0.0024475,99.11,,,0.075,1.5,15.0,,,37.5,1500.0,Fe,batch,50.0,45.0
171.0,F,10.0,0.7,93.0,7.0,,0.2,0.5,2.0,,,20.0,600.0,Al,batch,100.0,30.0
20.0,As,13.4,0.0536,99.6,2.4,,0.0375,3.0,30.0,,,120.0,250.0,Fe,batch,12.5,2.0
,F,10.0,0.75,92.5,6.0,,6.0,0.5,37.5,,,60.0,8000.0,Al,batch,1600.0,16.0
,As,1.0,0.1,90.0,6.0,,0.4,5.0,21.05263158,,,10.0,2.0,Fe,Batch,190.0,
29.0,F,10.0,7.6,24.0,7.0,,2.0,7.5,200.0,,0.1,10.0,1000.0,al,batch,100.0,30.0
,As,0.1,0.01255,87.45,7.0,,0.35,1.0,6.25,,,11.66,1.7,Fe,Batch,560.0,
13.0,As,123.0,17.097,86.1,4.0,,0.375,3.0,300.0,,,60.0,250.0,Al-Fe,batch,12.5,2.0
22.0,F,10.0,8.9,11.0,7.0,7.0,1.0,5.0,100.0,,0.1,20.0,1000.0,al,batch,100.0,30.0
,As,0.55,0.27764,49.52,3.0,5.9,1.792,1.0,35.0,,714.3,10.0,1400.0,Al,batch,512.0,39.0
26.0,As,13.4,0.335,97.5,6.0,,0.375,3.0,300.0,,,60.0,250.0,Al,Batch,12.5,2.0
,As,10.0,0.2,98.0,4.0,,1.2,5.0,63.15789474,,,10.0,2.0,Fe,Batch,190.0,
,F,15.0,1.7,88.66666667,6.0,,5.0,0.5,31.25,,,60.0,8000.0,Al,batch,1600.0,16.0
29.0,As,0.1,0.004,96.0,4.0,,2.0,0.5,200.0,12.0,,15.0,1000.0,Fe,batch,100.0,5.0
,F,75.0,23.0025,69.33,3.0,,4.008,3.0,167.0,,,15.0,2.0,Al,Batch,240.0,
49.0,F,5.0,1.2,76.0,6.0,,1.19,2.0,50.0,,0.01,5.0,400.0,al,batch,238.0,31.0
15.0,F,10.0,7.71,22.9,7.0,7.0,3.0,5.0,300.0,,0.1,5.0,1000.0,al,batch,100.0,30.0
,As,10.0,9.7,3.0,4.0,,1.2,5.0,63.15789474,,,30.0,2.0,Al,Batch,190.0,
,As,10.0,1.8,82.0,4.0,,0.4,5.0,21.05263158,,,15.0,2.0,Fe,Batch,190.0,
76.0,F,5.0,0.575,88.5,5.0,10.3,4.76,2.0,200.0,,0.01,20.0,400.0,al,batch,238.0,31.0
,As,10.0,9.5,5.0,6.0,,0.2,5.0,10.52631579,,,2.5,2.0,Fe,Batch,190.0,
114.0,F,7.06,3.04992,56.8,11.0,11.03,0.3,0.5,50.0,4.59,,30.0,2000.0,Al,batch,60.0,15.0
88.0,As,0.5,0.05825,88.35,7.0,,0.16668,2.0,13.89,,,20.0,4000.0,Fe-Al,batch,120.0,11.0
,As,10.0,7.7,23.0,8.0,,1.2,5.0,63.15789474,,,60.0,2.0,Al,Batch,190.0,
,F,12.0,3.4788,71.01,11.0,9.5,0.512,1.0,10.0,,714.3,65.0,1400.0,Al,batch,512.0,39.0
91.0,F,5.0,1.64,67.2,8.0,10.6,4.76,2.0,200.0,,0.01,5.0,400.0,al,batch,238.0,31.0
,As,0.15,0.024375,83.75,9.0,,0.05475,1.3,2.5,,,10.0,750.0,Al,batch,219.0,10.0
,As,0.3875,7.75e-05,99.98,,,0.0625,1.5,12.5,,,48.75,1500.0,Fe,batch,50.0,45.0
,F,15.0,1.300000001,91.33333333,6.0,,6.0,0.5,37.5,,,60.0,8000.0,Al,batch,1600.0,16.0
,As,0.55,0.02189,96.02,7.0,9.6,1.792,1.0,35.0,,714.3,65.0,1400.0,Al,batch,512.0,39.0
,As,0.05,0.00295,94.1,7.4,7.45,0.055,1.3,2.5,0.74,,15.0,800.0,Fe,batch,219.0,43.0
50.0,As,0.131,0.009956,92.4,7.2,,0.1,3.0,3.0,3.0,,0.3,1000.0,Fe,batch,33.33,8.0
,As,0.205,0.0246,88.0,3.0,,0.6,1.5,75.0,,,5.0,0.25,Fe,Batch,80.0,
201.0,F,25.0,11.0,56.0,6.0,,1.0,1.0,125.0,20.0,,60.0,1000.0,Fe,batch,80.0,35.0
84.0,F,5.0,0.305,93.9,6.0,10.6,4.76,2.0,200.0,,0.01,30.0,400.0,al,batch,238.0,31.0
18.0,As,123.0,10.701,91.3,10.0,,0.375,3.0,300.0,,,60.0,250.0,Al-Fe,batch,12.5,2.0
,As,0.01,0.0038,62.0,10.0,,0.6,1.5,75.0,,,17.5,0.25,Al,Batch,80.0,
1.0,F,10.0,1.4,86.0,2.0,3.0,0.46875,0.5,18.75,30.0,0.1,60.0,3600.0,al,batch,250.0,38.0
59.0,F,5.0,0.4,92.0,6.0,,2.38,2.0,100.0,,0.01,25.0,400.0,al,batch,238.0,31.0
,As,0.4,0.168,58.0,6.5,,0.24,1.5,30.0,,,17.5,0.25,Al,Batch,80.0,
,As,10.0,0.0,100.0,4.0,,1.2,5.0,63.15789474,,,15.0,2.0,Fe,Batch,190.0,
